timestamp,namespace,pod,node,cpu_usage,cpu_limit,cpu_request,cpu_throttling,memory_usage,memory_limit,memory_request,memory_rss,network_receive_bytes,network_transmit_bytes,network_errors,restarts,oom_killed,pod_ready,pod_phase,disk_read_bytes,disk_write_bytes,disk_io_errors,pod_scheduled,pod_pending,pod_unschedulable,container_running,container_terminated,container_waiting,pod_uptime_seconds,cpu_utilization_ratio,memory_utilization_ratio,CPU Throttling,High CPU Usage,OOMKilled (Out of Memory),CrashLoopBackOff,ContainerNotReady,PodUnschedulable,NodePressure,ImagePullFailure,network_receive_MBps,network_transmit_MBps,disk_read_MBps,disk_write_MBps,alert_score,alert
2025-04-13T17:13:10.310117,monitoring,prometheus-kube-prometheus-operator-565cbd8649-2kd49,clusterbusters-control-plane,0.3004590668073166,0.0,0.0,0.0,93495296.0,0.0,0.0,49512448.0,727.1456508079945,875.2356209450254,0.0,1.0,0.0,1.0,0.0,232426.46789864043,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2860.130000114441,0.0240088021460451,93495296.0,0,0,0,0,0,0,0,0,2.424575566265676e-07,2.9183629152022767e-07,7.749967759475479e-05,0.0,2,alert
2025-04-13T17:13:10.310117,pod-delete-ns,pod-delete-8595bc4b44-4bcwf,clusterbusters-control-plane,0.0,0.0,0.0,0.0,14635008.0,0.0,0.0,12009472.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1894.859999895096,0.0,14635008.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,alert
2025-04-13T17:13:29.165587,kube-system,kube-controller-manager-clusterbusters-control-plane,clusterbusters-control-plane,1.376506675009345,0.0,0.2,0.0,163590144.0,0.0,0.0,122834944.0,27606.19324891079,62723.25488279925,0.0,2.0,0.0,1.0,0.0,417606.4516066817,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2906.992000102997,0.1101205340007476,163590144.0,0,0,0,0,0,0,0,0,9.056549682386823e-06,2.057713169524002e-05,0.0001370009092727917,0.0,2,alert
2025-04-13T17:13:29.165587,kube-system,kube-scheduler-clusterbusters-control-plane,clusterbusters-control-plane,0.9284361293092808,0.0,0.1,0.0,83988480.0,0.0,0.0,50900992.0,27355.42353220594,56824.10221636303,0.0,1.0,0.0,1.0,0.0,259240.58226316536,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2907.6259999275208,0.0742748903447424,83988480.0,0,0,0,0,0,0,0,0,8.972324789271471e-06,1.8637777636442837e-05,8.502850266187785e-05,0.0,2,alert
2025-04-13T17:13:29.165587,litmus,pod-cpu-hog-helper-sf4s6,clusterbusters-control-plane,0.0549973800487149,0.0,0.0,0.0,32436224.0,0.0,0.0,15269888.0,210.02,36.42388888888889,0.0,0.0,0.0,1.0,0.0,447040.33873643377,694.6745841507443,0.0,1.0,0.0,0.0,1.0,0.0,0.0,72.21499991416931,0.0044112797485396,32436224.0,0,0,0,0,0,0,0,0,2.773532924872878e-06,4.810154037008128e-07,0.0059036334550605805,9.173901681813465e-06,2,alert
2025-04-13T17:13:29.165587,litmus,pod-cpu-hog-p8mh4ntj-runner,clusterbusters-control-plane,0.0782078700450806,0.0,0.0,0.0,35422208.0,0.0,0.0,21172224.0,1478.3276829290066,260.91653965618804,0.0,0.0,0.0,1.0,0.0,139165.31670978712,30.257930956753235,0.0,1.0,0.0,0.0,1.0,0.0,0.0,89.49000000953674,0.0062648013011228,35422208.0,0,0,0,0,0,0,0,0,1.5754197589579977e-05,2.780527461941917e-06,0.001483052723952643,3.224518004019892e-07,2,alert
2025-04-13T17:13:29.165587,litmus,pod-cpu-hog-u21y12-kkh4r,clusterbusters-control-plane,0.1110419285141751,0.0,0.0,0.0,50540544.0,0.0,0.0,27058176.0,1971.1011084090617,134.95105294594478,0.0,0.0,0.0,1.0,0.0,207152.46933333337,166.271710567857,0.0,1.0,0.0,0.0,1.0,0.0,0.0,87.66799998283386,0.008883379472567,50540544.0,0,0,0,0,0,0,0,0,2.1442128285094813e-05,1.4680311309911025e-06,0.002253456102819917,1.8087450374657577e-06,2,alert
2025-04-13T17:13:29.165587,monitoring,prometheus-kube-prometheus-operator-565cbd8649-2kd49,clusterbusters-control-plane,0.2956485151544856,0.0,0.0,0.0,76230656.0,0.0,0.0,49512448.0,726.8023718273193,877.1494685082074,0.0,1.0,0.0,1.0,0.0,252060.8002469471,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2878.0099999904633,0.0236379791374118,76230656.0,0,0,0,0,0,0,0,0,2.4083750755458e-07,2.906574055574658e-07,8.352434889702125e-05,0.0,2,alert
2025-04-13T17:13:29.165587,pod-delete-ns,pod-delete-8595bc4b44-4bcwf,clusterbusters-control-plane,0.0,0.0,0.0,0.0,14635008.0,0.0,0.0,12009472.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1914.2969999313352,0.0,14635008.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,alert
2025-04-13T17:13:48.944405,kube-system,kube-controller-manager-clusterbusters-control-plane,clusterbusters-control-plane,1.347958821534248,0.0,0.2,0.0,170893312.0,0.0,0.0,122871808.0,35451.04489518115,71334.95193591942,0.0,2.0,0.0,1.0,0.0,471585.0928284056,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2927.098000049591,0.107763670405284,170893312.0,0,0,0,0,0,0,0,0,1.1550262753664678e-05,2.3241555807905332e-05,0.0001536465779495214,0.0,2,alert
2025-04-13T17:13:48.944405,kube-system,kube-scheduler-clusterbusters-control-plane,clusterbusters-control-plane,0.934130121192296,0.0,0.1,0.0,81117184.0,0.0,0.0,50929664.0,35361.10093490813,71326.30931098152,0.0,1.0,0.0,1.0,0.0,287750.6689557815,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2927.6600000858307,0.0747304096953836,81117184.0,0,0,0,0,0,0,0,0,1.1518746630579457e-05,2.3234279005054152e-05,9.373370627183513e-05,0.0,2,alert
2025-04-13T17:13:48.944405,monitoring,prometheus-kube-prometheus-operator-565cbd8649-2kd49,clusterbusters-control-plane,0.3053685439547645,0.0,0.0,0.0,88666112.0,0.0,0.0,49516544.0,701.2001648604548,849.0494999027339,0.0,1.0,0.0,1.0,0.0,326557.18878144573,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2898.3689999580383,0.0244045523171833,88666112.0,0,0,0,0,0,0,0,0,2.307216879206635e-07,2.7936977708032724e-07,0.00010744981187115953,0.0,2,alert
2025-04-13T17:13:48.944405,pod-delete-ns,pod-delete-8595bc4b44-4bcwf,clusterbusters-control-plane,0.0,0.0,0.0,0.0,14635008.0,0.0,0.0,12009472.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1933.6630001068115,0.0,14635008.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,alert
2025-04-13T17:14:07.491243,kube-system,kube-controller-manager-clusterbusters-control-plane,clusterbusters-control-plane,1.334543595011636,0.0,0.2,0.0,174800896.0,0.0,0.0,122900480.0,42938.89916164328,80827.7730312417,0.0,2.0,0.0,1.0,0.0,504627.4915462379,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2945.0339999198914,0.106681177978536,174800896.0,0,0,0,0,0,0,0,0,1.390466979543562e-05,2.617401741178734e-05,0.0001634107715066277,0.0,2,alert
